year,title,source,language,primary_activity,date,url,text,keyword,date_raw,secondary_activity,activity_scores,classification_confidence,sentiment_score,sentiment_label,sentiment_pos_count,sentiment_neg_count,entities_institutions,entities_locations,entities_domains
2009,中欧联合实验室首批建设启动,新华网 (ZH),zh,Joint Research Projects,2009-06-07,https://example.com/article/15,中欧联合实验室首批建设启动,EU-China S&T,2009-06-07,,"{'Joint Research Projects': 2.4, 'Joint Programs': 0.0, 'Researcher Exchange': 0.0, 'Conferences & Seminars': 0.0, 'Exchange of Scientific Information': 0.0, 'Flagship Initiatives': 0.0}",1.0,0.0,Neutral,0,0,,,
2010,EU-China Innovation Cooperation Dialogue established at ministerial level,EU Commission Press,en,Flagship Initiatives,2010-02-16,https://example.com/article/16,EU-China Innovation Cooperation Dialogue established at ministerial level,EU-China S&T,2010-02-16,,"{'Joint Research Projects': 0.0, 'Joint Programs': 0.0, 'Researcher Exchange': 0.0, 'Conferences & Seminars': 2.0, 'Exchange of Scientific Information': 0.0, 'Flagship Initiatives': 0.0}",1.0,1.0,Positive,2,0,EU,China,
2010,EU-China joint symposium on food safety science,Xinhua (EN),en,Conferences & Seminars,2010-11-02,https://example.com/article/17,EU-China joint symposium on food safety science,EU-China S&T,2010-11-02,,"{'Joint Research Projects': 0.0, 'Joint Programs': 0.0, 'Researcher Exchange': 0.0, 'Conferences & Seminars': 2.0, 'Exchange of Scientific Information': 0.0, 'Flagship Initiatives': 0.0}",1.0,1.0,Positive,2,0,EU,China,
2011,中欧科技创新合作旗舰项目正式立项,新华网 (ZH),zh,Flagship Initiatives,2011-11-24,https://example.com/article/18,中欧科技创新合作旗舰项目正式立项,EU-China S&T,2011-11-24,,"{'Joint Research Projects': 0.0, 'Joint Programs': 0.0, 'Researcher Exchange': 0.0, 'Conferences & Seminars': 0.0, 'Exchange of Scientific Information': 0.0, 'Flagship Initiatives': 0.0}",0.0,1.0,Positive,2,0,,,
2011,EU-China research infrastructure access agreement signed,EU Commission Press,en,Exchange of Scientific Information,2011-04-18,https://example.com/article/19,EU-China research infrastructure access agreement signed,EU-China S&T,2011-04-18,,"{'Joint Research Projects': 0.0, 'Joint Programs': 0.0, 'Researcher Exchange': 0.0, 'Conferences & Seminars': 0.0, 'Exchange of Scientific Information': 1.8, 'Flagship Initiatives': 0.0}",1.0,1.0,Positive,4,0,EU,China,
2012,EU FP7 China joint calls results: 45 collaborative projects funded,EU Commission Press,en,Joint Research Projects,2012-02-22,https://example.com/article/20,EU FP7 China joint calls results: 45 collaborative projects funded,EU-China S&T,2012-02-22,,"{'Joint Research Projects': 0.0, 'Joint Programs': 2.2, 'Researcher Exchange': 0.0, 'Conferences & Seminars': 0.0, 'Exchange of Scientific Information': 0.0, 'Flagship Initiatives': 0.0}",1.0,1.0,Positive,2,0,EU,China,
2012,"EU-China researcher exchange sees record 2,300 scientists in 2012",Xinhua (EN),en,Researcher Exchange,2012-09-10,https://example.com/article/21,"EU-China researcher exchange sees record 2,300 scientists in 2012",EU-China S&T,2012-09-10,,"{'Joint Research Projects': 0.0, 'Joint Programs': 0.0, 'Researcher Exchange': 2.0, 'Conferences & Seminars': 0.0, 'Exchange of Scientific Information': 0.0, 'Flagship Initiatives': 0.0}",1.0,0.0,Neutral,0,0,EU,China,
2013,中欧科技合作协定续签仪式在北京举行,People's Daily (EN),zh,Joint Programs,2013-01-28,https://example.com/article/22,中欧科技合作协定续签仪式在北京举行,EU-China S&T,2013-01-28,,"{'Joint Research Projects': 0.0, 'Joint Programs': 0.0, 'Researcher Exchange': 0.0, 'Conferences & Seminars': 0.0, 'Exchange of Scientific Information': 0.0, 'Flagship Initiatives': 0.0}",0.0,1.0,Positive,4,0,,,
2013,EU-China S&T Agreement renewed; Horizon 2020 China participation agreed,EU Commission Press,en,Joint Programs,2013-06-26,https://example.com/article/23,EU-China S&T Agreement renewed; Horizon 2020 China participation agreed,EU-China S&T,2013-06-26,,"{'Joint Research Projects': 0.0, 'Joint Programs': 0.0, 'Researcher Exchange': 0.0, 'Conferences & Seminars': 0.0, 'Exchange of Scientific Information': 0.0, 'Flagship Initiatives': 0.0}",0.0,1.0,Positive,4,0,EU,China,
2014,Horizon 2020 first joint calls with China in ICT and environment,EU Commission Press,en,Joint Programs,2014-09-22,https://example.com/article/24,Horizon 2020 first joint calls with China in ICT and environment,EU-China S&T,2014-09-22,,"{'Joint Research Projects': 0.0, 'Joint Programs': 0.0, 'Researcher Exchange': 0.0, 'Conferences & Seminars': 0.0, 'Exchange of Scientific Information': 0.0, 'Flagship Initiatives': 0.0}",0.0,1.0,Positive,2,0,,China,environment
2014,EU-China seminar on quantum communication research,Xinhua (EN),en,Conferences & Seminars,2014-10-06,https://example.com/article/25,EU-China seminar on quantum communication research,EU-China S&T,2014-10-06,Conferences & Seminars,"{'Joint Research Projects': 0.0, 'Joint Programs': 0.0, 'Researcher Exchange': 0.0, 'Conferences & Seminars': 2.0, 'Exchange of Scientific Information': 0.0, 'Flagship Initiatives': 2.6}",0.565,0.0,Neutral,0,0,EU,China,quantum
2015,EU-China flagship initiative on urbanisation and environment launched,EU Commission Press,en,Flagship Initiatives,2015-05-14,https://example.com/article/26,EU-China flagship initiative on urbanisation and environment launched,EU-China S&T,2015-05-14,,"{'Joint Research Projects': 0.0, 'Joint Programs': 0.0, 'Researcher Exchange': 0.0, 'Conferences & Seminars': 0.0, 'Exchange of Scientific Information': 0.0, 'Flagship Initiatives': 2.6}",1.0,0.0,Neutral,2,2,EU,China,environment
2015,中欧旗舰合作项目：城镇化与绿色发展,新华网 (ZH),zh,Flagship Initiatives,2015-06-02,https://example.com/article/27,中欧旗舰合作项目：城镇化与绿色发展,EU-China S&T,2015-06-02,,"{'Joint Research Projects': 0.0, 'Joint Programs': 2.2, 'Researcher Exchange': 0.0, 'Conferences & Seminars': 0.0, 'Exchange of Scientific Information': 0.0, 'Flagship Initiatives': 0.0}",1.0,1.0,Positive,2,0,,,
2016,EU-China open data agreement for research signed at Brussels summit,EU Commission Press,en,Exchange of Scientific Information,2016-07-05,https://example.com/article/28,EU-China open data agreement for research signed at Brussels summit,EU-China S&T,2016-07-05,Conferences & Seminars,"{'Joint Research Projects': 0.0, 'Joint Programs': 0.0, 'Researcher Exchange': 0.0, 'Conferences & Seminars': 2.0, 'Exchange of Scientific Information': 3.6, 'Flagship Initiatives': 0.0}",0.643,1.0,Positive,4,0,EU,China; Brussels,
2016,Record 320 Chinese scientists receive Marie Curie fellowships,Xinhua (EN),en,Researcher Exchange,2016-09-20,https://example.com/article/29,Record 320 Chinese scientists receive Marie Curie fellowships,EU-China S&T,2016-09-20,Researcher Exchange,"{'Joint Research Projects': 0.0, 'Joint Programs': 2.2, 'Researcher Exchange': 2.0, 'Conferences & Seminars': 0.0, 'Exchange of Scientific Information': 0.0, 'Flagship Initiatives': 0.0}",0.524,0.0,Neutral,0,0,Marie Curie,,
2017,中欧联合研究与创新伙伴关系深化路线图发布,新华网 (ZH),zh,Flagship Initiatives,2017-12-21,https://example.com/article/30,中欧联合研究与创新伙伴关系深化路线图发布,EU-China S&T,2017-12-21,Joint Research Projects,"{'Joint Research Projects': 2.4, 'Joint Programs': 0.0, 'Researcher Exchange': 0.0, 'Conferences & Seminars': 0.0, 'Exchange of Scientific Information': 0.0, 'Flagship Initiatives': 2.6}",0.52,1.0,Positive,2,0,,,
2017,"EU-China Joint Science and Technology Committee 14th meeting, Beijing",EU Commission Press,en,Conferences & Seminars,2017-05-28,https://example.com/article/31,"EU-China Joint Science and Technology Committee 14th meeting, Beijing",EU-China S&T,2017-05-28,,"{'Joint Research Projects': 0.0, 'Joint Programs': 0.0, 'Researcher Exchange': 0.0, 'Conferences & Seminars': 0.0, 'Exchange of Scientific Information': 0.0, 'Flagship Initiatives': 0.0}",0.0,1.0,Positive,2,0,EU,Beijing; China,
2018,EU-China security concerns emerge over technology transfer rules,EU Commission Press,en,Exchange of Scientific Information,2018-05-10,https://example.com/article/32,EU-China security concerns emerge over technology transfer rules,EU-China S&T,2018-05-10,,"{'Joint Research Projects': 0.0, 'Joint Programs': 0.0, 'Researcher Exchange': 0.0, 'Conferences & Seminars': 0.0, 'Exchange of Scientific Information': 1.8, 'Flagship Initiatives': 0.0}",1.0,-1.0,Negative,0,4,EU,China,
2018,EU-China joint AI research programme discussion at JSTC meeting,Xinhua (EN),en,Conferences & Seminars,2018-11-11,https://example.com/article/33,EU-China joint AI research programme discussion at JSTC meeting,EU-China S&T,2018-11-11,,"{'Joint Research Projects': 2.4, 'Joint Programs': 0.0, 'Researcher Exchange': 0.0, 'Conferences & Seminars': 0.0, 'Exchange of Scientific Information': 0.0, 'Flagship Initiatives': 0.0}",1.0,1.0,Positive,2,0,EU,China,ai
2019,EU-China Strategic Research Agenda adopted by Joint Committee,EU Commission Press,en,Flagship Initiatives,2019-01-14,https://example.com/article/34,EU-China Strategic Research Agenda adopted by Joint Committee,EU-China S&T,2019-01-14,,"{'Joint Research Projects': 0.0, 'Joint Programs': 0.0, 'Researcher Exchange': 0.0, 'Conferences & Seminars': 2.0, 'Exchange of Scientific Information': 0.0, 'Flagship Initiatives': 0.0}",1.0,1.0,Positive,2,0,EU,China,
2019,中欧战略性科研议程通过，聚焦气候与数字领域,People's Daily (EN),zh,Flagship Initiatives,2019-10-06,https://example.com/article/35,中欧战略性科研议程通过，聚焦气候与数字领域,EU-China S&T,2019-10-06,,"{'Joint Research Projects': 0.0, 'Joint Programs': 0.0, 'Researcher Exchange': 0.0, 'Conferences & Seminars': 0.0, 'Exchange of Scientific Information': 0.0, 'Flagship Initiatives': 0.0}",0.0,0.0,Neutral,0,0,,,
2020,EU-China cooperation on COVID-19 research and data sharing,EU Commission Press,en,Exchange of Scientific Information,2020-06-04,https://example.com/article/36,EU-China cooperation on COVID-19 research and data sharing,EU-China S&T,2020-06-04,,"{'Joint Research Projects': 0.0, 'Joint Programs': 0.0, 'Researcher Exchange': 0.0, 'Conferences & Seminars': 0.0, 'Exchange of Scientific Information': 1.8, 'Flagship Initiatives': 0.0}",1.0,1.0,Positive,2,0,EU,China,
2020,中欧疫情科研数据共享协议达成,新华网 (ZH),zh,Exchange of Scientific Information,2020-09-14,https://example.com/article/37,中欧疫情科研数据共享协议达成,EU-China S&T,2020-09-14,,"{'Joint Research Projects': 0.0, 'Joint Programs': 0.0, 'Researcher Exchange': 0.0, 'Conferences & Seminars': 0.0, 'Exchange of Scientific Information': 1.8, 'Flagship Initiatives': 0.0}",1.0,0.0,Neutral,0,0,,,
2020,Horizon Europe negotiations stall; China participation under review,EU Commission Press,en,Joint Programs,2020-04-07,https://example.com/article/38,Horizon Europe negotiations stall; China participation under review,EU-China S&T,2020-04-07,,"{'Joint Research Projects': 0.0, 'Joint Programs': 2.2, 'Researcher Exchange': 0.0, 'Conferences & Seminars': 0.0, 'Exchange of Scientific Information': 0.0, 'Flagship Initiatives': 0.0}",1.0,0.0,Neutral,0,0,Horizon Europe,China,
2021,EU de-risks China research links; some Horizon Europe calls restricted,EU Commission Press,en,Joint Programs,2021-07-19,https://example.com/article/39,EU de-risks China research links; some Horizon Europe calls restricted,EU-China S&T,2021-07-19,,"{'Joint Research Projects': 0.0, 'Joint Programs': 2.2, 'Researcher Exchange': 0.0, 'Conferences & Seminars': 0.0, 'Exchange of Scientific Information': 0.0, 'Flagship Initiatives': 0.0}",1.0,-1.0,Negative,0,4,EU; Horizon Europe,China,
2021,EU-China researcher exchange programmes continue despite tensions,Xinhua (EN),en,Researcher Exchange,2021-12-13,https://example.com/article/40,EU-China researcher exchange programmes continue despite tensions,EU-China S&T,2021-12-13,,"{'Joint Research Projects': 0.0, 'Joint Programs': 0.0, 'Researcher Exchange': 2.0, 'Conferences & Seminars': 0.0, 'Exchange of Scientific Information': 0.0, 'Flagship Initiatives': 0.0}",1.0,0.0,Neutral,2,2,EU,China,
2021,中欧科研人员交流项目年度报告：共3200人参与,新华网 (ZH),zh,Researcher Exchange,2021-02-24,https://example.com/article/41,中欧科研人员交流项目年度报告：共3200人参与,EU-China S&T,2021-02-24,,"{'Joint Research Projects': 0.0, 'Joint Programs': 0.0, 'Researcher Exchange': 0.0, 'Conferences & Seminars': 0.0, 'Exchange of Scientific Information': 0.0, 'Flagship Initiatives': 0.0}",0.0,0.0,Neutral,0,0,,,
2022,EU strategic autonomy policy affects China joint research funding decisions,EU Commission Press,en,Joint Programs,2022-08-20,https://example.com/article/42,EU strategic autonomy policy affects China joint research funding decisions,EU-China S&T,2022-08-20,,"{'Joint Research Projects': 4.8, 'Joint Programs': 0.0, 'Researcher Exchange': 0.0, 'Conferences & Seminars': 0.0, 'Exchange of Scientific Information': 0.0, 'Flagship Initiatives': 0.0}",1.0,1.0,Positive,2,0,EU,China,
2022,EU-China S&T Agreement extended for further five years,EU Commission Press,en,Joint Programs,2022-02-09,https://example.com/article/43,EU-China S&T Agreement extended for further five years,EU-China S&T,2022-02-09,,"{'Joint Research Projects': 0.0, 'Joint Programs': 0.0, 'Researcher Exchange': 0.0, 'Conferences & Seminars': 0.0, 'Exchange of Scientific Information': 0.0, 'Flagship Initiatives': 0.0}",0.0,1.0,Positive,2,0,EU,China,
2022,中欧科技合作协定续签五年,People's Daily (EN),zh,Joint Programs,2022-10-24,https://example.com/article/44,中欧科技合作协定续签五年,EU-China S&T,2022-10-24,,"{'Joint Research Projects': 0.0, 'Joint Programs': 0.0, 'Researcher Exchange': 0.0, 'Conferences & Seminars': 0.0, 'Exchange of Scientific Information': 0.0, 'Flagship Initiatives': 0.0}",0.0,1.0,Positive,4,0,,,
2023,EU-China Joint S&T Committee resumes dialogue after COVID pause,EU Commission Press,en,Conferences & Seminars,2023-06-23,https://example.com/article/45,EU-China Joint S&T Committee resumes dialogue after COVID pause,EU-China S&T,2023-06-23,,"{'Joint Research Projects': 0.0, 'Joint Programs': 0.0, 'Researcher Exchange': 0.0, 'Conferences & Seminars': 4.0, 'Exchange of Scientific Information': 0.0, 'Flagship Initiatives': 0.0}",1.0,1.0,Positive,2,0,EU,China,
2023,中欧联合科技委员会复会，聚焦气候与绿色科技,新华网 (ZH),zh,Conferences & Seminars,2023-11-11,https://example.com/article/46,中欧联合科技委员会复会，聚焦气候与绿色科技,EU-China S&T,2023-11-11,,"{'Joint Research Projects': 0.0, 'Joint Programs': 0.0, 'Researcher Exchange': 0.0, 'Conferences & Seminars': 0.0, 'Exchange of Scientific Information': 0.0, 'Flagship Initiatives': 0.0}",0.0,0.0,Neutral,0,0,,,
2023,EU security review leads to restricted participation in sensitive research areas,EU Commission Press,en,Exchange of Scientific Information,2023-11-09,https://example.com/article/47,EU security review leads to restricted participation in sensitive research areas,EU-China S&T,2023-11-09,,"{'Joint Research Projects': 0.0, 'Joint Programs': 0.0, 'Researcher Exchange': 0.0, 'Conferences & Seminars': 0.0, 'Exchange of Scientific Information': 0.0, 'Flagship Initiatives': 0.0}",0.0,-1.0,Negative,0,4,EU,,
2023,EU-China climate technology joint research initiative announced,Xinhua (EN),en,Joint Research Projects,2023-03-20,https://example.com/article/48,EU-China climate technology joint research initiative announced,EU-China S&T,2023-03-20,,"{'Joint Research Projects': 2.4, 'Joint Programs': 0.0, 'Researcher Exchange': 0.0, 'Conferences & Seminars': 0.0, 'Exchange of Scientific Information': 0.0, 'Flagship Initiatives': 0.0}",1.0,1.0,Positive,2,0,EU,China,climate
2024,EU-China flagship initiative on green hydrogen research signed,EU Commission Press,en,Flagship Initiatives,2024-08-04,https://example.com/article/49,EU-China flagship initiative on green hydrogen research signed,EU-China S&T,2024-08-04,,"{'Joint Research Projects': 0.0, 'Joint Programs': 0.0, 'Researcher Exchange': 0.0, 'Conferences & Seminars': 0.0, 'Exchange of Scientific Information': 0.0, 'Flagship Initiatives': 2.6}",1.0,1.0,Positive,2,0,EU,China,
2024,中欧绿色氢能旗舰合作项目签署,新华网 (ZH),zh,Flagship Initiatives,2024-10-06,https://example.com/article/50,中欧绿色氢能旗舰合作项目签署,EU-China S&T,2024-10-06,,"{'Joint Research Projects': 0.0, 'Joint Programs': 2.2, 'Researcher Exchange': 0.0, 'Conferences & Seminars': 0.0, 'Exchange of Scientific Information': 0.0, 'Flagship Initiatives': 0.0}",1.0,1.0,Positive,4,0,,,
2024,"EU-China researcher exchange 2024: 4,100 mobility grants awarded",Xinhua (EN),en,Researcher Exchange,2024-10-01,https://example.com/article/51,"EU-China researcher exchange 2024: 4,100 mobility grants awarded",EU-China S&T,2024-10-01,,"{'Joint Research Projects': 0.0, 'Joint Programs': 0.0, 'Researcher Exchange': 4.0, 'Conferences & Seminars': 0.0, 'Exchange of Scientific Information': 0.0, 'Flagship Initiatives': 0.0}",1.0,0.0,Neutral,0,0,EU,China,
2024,EU-China AI governance dialogue launched at ministerial level,EU Commission Press,en,Conferences & Seminars,2024-10-23,https://example.com/article/52,EU-China AI governance dialogue launched at ministerial level,EU-China S&T,2024-10-23,,"{'Joint Research Projects': 0.0, 'Joint Programs': 0.0, 'Researcher Exchange': 0.0, 'Conferences & Seminars': 2.0, 'Exchange of Scientific Information': 0.0, 'Flagship Initiatives': 0.0}",1.0,1.0,Positive,2,0,EU,China,ai
2024,中欧人工智能治理对话启动,People's Daily (EN),zh,Conferences & Seminars,2024-10-19,https://example.com/article/53,中欧人工智能治理对话启动,EU-China S&T,2024-10-19,,"{'Joint Research Projects': 0.0, 'Joint Programs': 0.0, 'Researcher Exchange': 0.0, 'Conferences & Seminars': 2.0, 'Exchange of Scientific Information': 0.0, 'Flagship Initiatives': 0.0}",1.0,0.0,Neutral,0,0,,,
2024,Joint EU-China publication on quantum computing milestones released,EU Commission Press,en,Exchange of Scientific Information,2024-06-20,https://example.com/article/54,Joint EU-China publication on quantum computing milestones released,EU-China S&T,2024-06-20,Exchange of Scientific Information,"{'Joint Research Projects': 0.0, 'Joint Programs': 0.0, 'Researcher Exchange': 0.0, 'Conferences & Seminars': 0.0, 'Exchange of Scientific Information': 1.8, 'Flagship Initiatives': 2.6}",0.591,1.0,Positive,4,0,EU,China,quantum
2025,"EU-China S&T Agreement mid-term review conference, Brussels",EU Commission Press,en,Conferences & Seminars,2025-04-22,https://example.com/article/55,"EU-China S&T Agreement mid-term review conference, Brussels",EU-China S&T,2025-04-22,,"{'Joint Research Projects': 0.0, 'Joint Programs': 0.0, 'Researcher Exchange': 0.0, 'Conferences & Seminars': 2.0, 'Exchange of Scientific Information': 0.0, 'Flagship Initiatives': 0.0}",1.0,1.0,Positive,2,0,EU,China; Brussels,
2025,中欧科技合作协定中期评估会议在布鲁塞尔举行,新华网 (ZH),zh,Conferences & Seminars,2025-07-13,https://example.com/article/56,中欧科技合作协定中期评估会议在布鲁塞尔举行,EU-China S&T,2025-07-13,,"{'Joint Research Projects': 0.0, 'Joint Programs': 0.0, 'Researcher Exchange': 0.0, 'Conferences & Seminars': 2.0, 'Exchange of Scientific Information': 0.0, 'Flagship Initiatives': 0.0}",1.0,1.0,Positive,2,0,,,
2025,New EU-China joint research projects approved under 2025 framework,EU Commission Press,en,Joint Research Projects,2025-07-16,https://example.com/article/57,New EU-China joint research projects approved under 2025 framework,EU-China S&T,2025-07-16,,"{'Joint Research Projects': 4.8, 'Joint Programs': 0.0, 'Researcher Exchange': 0.0, 'Conferences & Seminars': 0.0, 'Exchange of Scientific Information': 0.0, 'Flagship Initiatives': 0.0}",1.0,1.0,Positive,2,0,EU,China,
2025,EU-China flagship clean energy initiative expanded to fusion research,Xinhua (EN),en,Flagship Initiatives,2025-01-04,https://example.com/article/58,EU-China flagship clean energy initiative expanded to fusion research,EU-China S&T,2025-01-04,,"{'Joint Research Projects': 0.0, 'Joint Programs': 0.0, 'Researcher Exchange': 0.0, 'Conferences & Seminars': 0.0, 'Exchange of Scientific Information': 0.0, 'Flagship Initiatives': 2.6}",1.0,1.0,Positive,2,0,EU,China,energy
2026,EU-China upcoming: Horizon Europe successor programme China modalities,EU Commission Press,en,Joint Programs,2026-03-04,https://example.com/article/59,EU-China upcoming: Horizon Europe successor programme China modalities,EU-China S&T,2026-03-04,,"{'Joint Research Projects': 0.0, 'Joint Programs': 2.2, 'Researcher Exchange': 0.0, 'Conferences & Seminars': 0.0, 'Exchange of Scientific Information': 0.0, 'Flagship Initiatives': 0.0}",1.0,0.0,Neutral,0,0,EU; Horizon Europe,China,
2026,"Planned EU-China Joint S&T Committee annual meeting, Q2 2026",Xinhua (EN),en,Conferences & Seminars,2026-06-19,https://example.com/article/60,"Planned EU-China Joint S&T Committee annual meeting, Q2 2026",EU-China S&T,2026-06-19,,"{'Joint Research Projects': 0.0, 'Joint Programs': 0.0, 'Researcher Exchange': 0.0, 'Conferences & Seminars': 2.0, 'Exchange of Scientific Information': 0.0, 'Flagship Initiatives': 0.0}",1.0,1.0,Positive,2,0,EU,China,
